State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
AZ,Phoenix,Municipal,04-19-1988,"Proposition 8- Bond for 6,000 acres of open space preservation",Bond,,"Open space, parks","$137,240,000","$34,810,000","$137,240,000","$34,810,000",yes,Pass,58.033798283262%,41.966201716738%,,yes
CA,California,State,06-07-1988,"Proposition # 70,Bond for acquisition of land for wildlife, costal, and park ",Bond,,"wildlife habitat, parks","$776,000,000","$776,000,000","$776,000,000","$776,000,000",yes,Pass,65.14748730625%,34.85251269375%,,yes
WA,King County,County,09-20-1988,"Bond for open space, parks, trails, and recreational facilities",Bond,,"Open space, parks, trails, recreation","$85,870,000","$85,870,000",,,no,Fail,50.293014686667%,49.706985313333%,60% req.,yes
CA,East Bay Regional Park District,Special District,11-08-1988,"Bond for the protection of wildlife, parks and open space through land acquisition",Bond,,"Open space, wildlife habitat, parks","$225,000,000","$168,750,000","$225,000,000","$168,750,000",yes,Pass,,,"Alameda and Contra Costa Counties, 2/3rds req. 68% to 32%",yes
CA,Santa Clara County,County,11-08-1988,"3-year, $1.5 cent per $100 property tax extension of Park Charter Fund",Other,Charter Amendment,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$27,000,000","$5,400,000","$27,000,000","$5,400,000",yes,Pass,66.184241351485%,33.815758648515%,"Measure B
20% for acquisition, 80% for development operations and maintenance",yes
CT,Groton,Municipal,11-08-1988,Bond for land acquisition,Bond,,"Recreation, open space","$8,000,000","$8,000,000","$8,000,000","$8,000,000",yes,Pass,74.273737570677%,25.726262429323%,,yes
CT,Cheshire,Municipal,11-08-1988,"Bond for acquisition of land for recreation, open space, conservation, educational and municipal purposes",Bond,,Recreation and open space,"$1,500,000","$1,000,000","$1,500,000","$1,000,000",yes,Pass,64.369044438507%,35.630955561493%,New Haven County,yes
CT,Bloomfield,Municipal,11-08-1988,Bond for Open space and recreational lands,Bond,,"Open space, recreation","$4,000,000","$4,000,000","$4,000,000","$4,000,000",yes,Pass,77.744262295082%,22.255737704918%,,yes
FL,Flagler County,County,11-08-1988,"20-year, .33 mill property tax increase for the acquisition of environmentally sensitive lands",Property tax,,"Parks, watershed protection, recreation","$7,800,000","$7,800,000","$7,800,000","$7,800,000",yes,Pass,61.232825844783%,38.767174155217%,,yes
FL,Hernando County,County,11-08-1988,"30-year, .1 mill levy for the acquisition and preservation of environmentally sensitive lands",Property tax,,"Open space, wildlife habitat, recreation",,,,,yes,Pass,53.208449581507%,46.791550418493%,Includes bond issuance,yes
IL,Orland Park,Municipal,11-08-1988,40-acre community park bond,Bond,,Park,"$8,000,000","$8,000,000","$8,000,000","$8,000,000",yes,Pass,59.428571428571%,40.571428571429%,,yes
MI,Rochester Hills,Municipal,11-08-1988,Park and Recreation bonds,Bond,,"Recreation, parks","$9,000,000","$4,500,000","$9,000,000","$4,500,000",yes,Pass,57.81574694066%,42.18425305934%,,yes
MN,Shoreview,Municipal,11-08-1988,Park and Recreation bonds,Bond,,"Recreation, parks","$2,975,000","$1,000,000","$2,975,000","$1,000,000",yes,Pass,63.8142256354%,36.1857743646%,,yes
NC,Guilford County,County,11-08-1988,bond for acquisition and development of regional parks,Bond,,"Open space, parks, greenways","$12,000,000","$12,000,000","$12,000,000","$12,000,000",yes,Pass,70.53473658596%,29.46526341404%,,yes
NC,Charlotte,Municipal,11-08-1988,Bond for parks and recreation,Bond,,"Recreation, parks","$9,500,000","$2,000,000","$9,500,000","$2,000,000",yes,Pass,64.41605839416%,35.58394160584%,,yes
NJ,Parsippany-Troy Hills Township,Municipal,11-08-1988,2-cents per $100 property tax increase to establish an Open Space Trust Fund,Property tax,,"Open space, recreation","$31,093,862","$31,093,862","$31,093,862","$31,093,862",yes,Pass,64.241011167014%,35.758988832986%,Morris County,yes
NM,New Mexico,State,11-08-1988,"Bond for Natural Land Protection Fund- wildlife, endangered species and natural areas",Bond,,"Open space, wildlife habitat","$425,000","$425,000","$425,000","$425,000",yes,Pass,62.06900494199%,37.93099505801%,,yes
NV,Moapa,Municipal,11-08-1988,40 years- 4% of property tax,Property tax,,"Parks, recreation","$1,600,000","$1,600,000","$1,600,000","$1,600,000",yes,Pass,69.142857142857%,30.857142857143%,Clark County,yes
NY,Nassau County,County,11-08-1988,Bond for land conservation,Bond,,Open space,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",yes,Pass,58.806536405093%,41.193463594907%,,yes
Ore,Gresham,Municipal,11-08-1988,Bond for parkland acquisition,Bond,,Parks,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",yes,Pass,50.730238802327%,49.269761197673%,Multnomah County,yes
PA,Lower Makefield Township,Municipal,11-08-1988,Bonds for land preservation,Bond,,"Recreation, open space, farmland, parks","$45,000,000","$45,000,000",,,no,Fail,44.41635524291%,55.58364475709%,,yes
RI,Rhode Island,State,11-08-1988,Agricultural Land Preservation Fund,Bond,,Farmland,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,84.308450948079%,15.691549051921%,,yes
VA,Fairfax County,County,11-08-1988,Bond for park acquisition and facilities,Bond,,Parks,"$91,500,000","$45,000,000","$91,500,000","$45,000,000",yes,Pass,66.36755939995%,33.63244060005%,,yes
VA,Arlington County,County,11-08-1988,"Bond for the acquisition, construction, improvement and equipment of parks, recreation",Bond,,"Recreation, parks","$3,900,000","$1,000,000","$3,900,000","$1,000,000",yes,Pass,77.833753148615%,22.166246851385%,,yes
VA,Fairfax County,County,11-08-1988,Bond for parks and park facilities,Bond,,Parks,"$91,500,000","$45,000,000","$91,500,000","$45,000,000",yes,Pass,66.74367355104%,33.25632644896%,,yes
WA,Issaquah,Municipal,11-08-1988,Bond to puchase parkland,Bond,,Parks,"$600,000","$600,000","$600,000","$600,000",yes,Pass,60.978670012547%,39.021329987453%,"King County, 60% req.",yes
OK,Sand Springs,Municipal,02-07-1989,Park Bonds,Bond,,Parks,"$250,000","$100,000","$250,000","$100,000",yes,Pass,57.840375586854%,42.159624413146%,,yes
FL,Broward County,County,03-14-1989,Bond for open space,Bond,,Open space,"$75,000,000","$75,000,000","$75,000,000","$75,000,000",yes,Pass,58.69916733411%,41.30083266589%,,yes
FL,Davie,Municipal,03-14-1989,Bond for open space acquisition,Bond,,"Open space, trails","$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,79.66056748873%,20.33943251127%,,yes
NC,Chapel Hill,Municipal,05-02-1989,"Bond issue for acquisition and development of land for parks, greenways and open space",Bond,,"Open space, parks, greenways","$5,000,000","$4,000,000","$5,000,000","$4,000,000",yes,Pass,74.482512491078%,25.517487508922%,Orange Co.,yes
CO,Boulder County,County,05-16-1989,"1% sales and use tax increase, decreased to 0.75% after 15-years, for property tax relief and open space acquisition1% sales and use tax increase, decreased to 0.75% after 15-years, for property tax relief and open space acquisition",Sales tax,,Open space,,,,,no,Fail,46.076%,53.924%,,yes
FL,Martin County,County,05-16-1989,Bond for the acquisition of recreational and environmentally sensitive lands,Bond,,"Open space, recreation","$20,000,000","$20,000,000","$20,000,000","$20,000,000",yes,Pass,53.263731275533%,46.736268724467%,,yes
WA,Clark County,County,05-16-1989,"Bond for parks, open space, trails, and recreation",Bond,,"Open space, parks, trails, recreation","$28,875,000","$28,875,000",,,no,Fail,48.616685085015%,51.383314914985%,"Mail-ballot, 60% req.",yes
MN,Eden Prairie,Municipal,05-25-1989,Bond for land acquisition,Bond,,"Recreation, open space","$9,045,000","$3,000,000",,,no,Fail,48.646934460888%,51.353065539112%,Hennepin County,yes
MD,Greenbelt,Municipal,06-27-1989,Bond for financing the cost of developing and improving Schrom Hills Park,Bond,,Parks,"$1,000,000","$250,000","$1,000,000","$250,000",yes,Pass,77.35368956743%,22.64631043257%,,yes
CA,Encinitas,Municipal,11-07-1989,Bond for park and open space land acquistion,Bond,,"Parks, open space, recreation","$25,000,000","$25,000,000",,,no,Fail,55.319400165309%,44.680599834691%,2/3 vote required,yes
CO,Westminster,Municipal,11-07-1989,"Question No. 2, 5-year, 0.25% sales and use tax extension for open space, park and trail acquisition, preservation and development",Sales tax,,"Open space, parks, trails","$32,324,301","$32,324,301","$32,324,301","$32,324,301",yes,Pass,72.40153982825%,27.59846017175%,Adams Co.,yes
CO,Denver,Municipal,11-07-1989,Bond for parks and recreation,Bond,,"Parks, recreation","$59,625,000","$10,000,000","$59,625,000","$10,000,000",yes,Pass,66.10597488616%,33.89402511384%,,yes
CT,Tolland,Municipal,11-07-1989,Bond for land acquisition,Bond,,"Recreation, open space","$2,600,000","$2,600,000","$2,600,000","$2,600,000",yes,Pass,60.892907601017%,39.107092398983%,,yes
CT,Middletown,Municipal,11-07-1989,Bond for the acquisition of open space and farmland,Bond,,Open space and farmland,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",yes,Pass,75.82578908735%,24.17421091265%,,yes
FL,Pinellas County,County,11-07-1989,"10-year, ""Penny for Pinellas"", One-cent sales tax to finance county and municipal infrastructure projects including open space acquisition ",Sales tax,,"Recreation, open space, parks","$469,309,000","$69,092,349","$469,309,000","$69,092,349",yes,Pass,50.147556056472%,49.852443943528%,,yes
IL,Cuba,Municipal,11-07-1989,Bonds to finance open space purchases under the Township Open Space Act and property tax not in excess of 5.75% on the valuation fo taxable property,Bond,,Open space,"$21,430,320","$21,430,320",,,no,Fail,27.882124352332%,72.117875647668%,,yes
NC,Forsyth County,County,11-07-1989,"Bond for for the purpose of providing funds, with any other available funds, for enlarging and improving Tanglewood Park",Bond,,Parks,"$3,200,000","$500,000",,,no,Fail,49.833337849923%,50.166662150077%,,yes
NC,Forsyth County,County,11-07-1989,Bond for parks and recreation,Bond,,"Recreation, parks","$1,500,000","$750,000","$1,500,000","$750,000",yes,Pass,53.588055867716%,46.411944132284%,,yes
NC,Mecklenburg County,County,11-07-1989,Bonds for parks,Bond,,"Parks, greenways","$15,820,000","$6,000,000","$15,820,000","$6,000,000",yes,Pass,62.926603758192%,37.073396241808%,,yes
